replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,realized_available_n,realized_available_fraction,available_event_n,full_population_event_n,event_availability_ceiling,budget_available_top_fraction,budget_all_top_fraction,c00_capture,c10_capture,c01_capture,c11_capture,naive_top_fraction_effect,availability_effect_at_all_budget,capacity_effect_within_available_subset,availability_main_effect,capacity_main_effect,distortion_top_fraction_minus_fixed_budget,shapley_availability_effect,shapley_capacity_effect,interaction_effect,total_four_cell_effect,identity_error,factorial_identity_error,shapley_identity_error,naive_delta_true_positive_n,availability_delta_true_positive_n,capacity_delta_true_positive_n,availability_main_delta_true_positive_n,capacity_main_delta_true_positive_n,tp_interaction_n,tp_factorial_identity_error,tp_identity_error
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,70255,0.70255,5387,9883,0.5450774056460589,7026,10000,0.14975209956490945,0.21926540524132349,0.19204694930689062,0.2885763432156228,0.13882424365071336,0.09652939390873219,0.042294849741981166,0.06951330567641403,0.042294849741981166,0.042294849741981166,0.08302134979257311,0.055802893858140246,0.02701608823231816,0.13882424365071336,0.0,0.0,0.0,1372,954,418,687,418,267,0,0
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,70255,0.70255,5387,9883,0.5450774056460589,14051,20000,0.24233532328240412,0.36092279672164324,0.30476575938480216,0.45907113224729335,0.21673580896488923,0.15430537286249119,0.06243043610239804,0.11858747343923912,0.06243043610239804,0.06243043610239804,0.13644642315086514,0.08028938581402408,0.03571789942325207,0.21673580896488923,0.0,0.0,1.3877787807814457e-17,2142,1525,617,1172,617,353,0,0
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.05,69979,0.69979,6881,9883,0.6962460791257715,3499,5000,0.11747445107760801,0.1284023069918041,0.15400182130931903,0.16938176667003946,0.05190731559243145,0.015379945360720432,0.036527370231711015,0.010927855914196094,0.036527370231711015,0.036527370231711015,0.013153900637458263,0.038753414954973184,0.004452089446524338,0.05190731559243145,0.0,0.0,0.0,513,152,361,108,361,44,0,0
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.1,69979,0.69979,6881,9883,0.6962460791257715,6998,10000,0.19892745117879188,0.21825356673074978,0.253465546898715,0.2885763432156228,0.08964889203683093,0.03511079631690783,0.0545380957199231,0.0193261155519579,0.0545380957199231,0.0545380957199231,0.027218455934432867,0.06243043610239807,0.015784680764949932,0.08964889203683093,0.0,0.0,0.0,886,347,539,191,539,156,0,0
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.2,69979,0.69979,6881,9883,0.6962460791257715,13996,20000,0.3193362339370636,0.3599109582110695,0.397652534655469,0.45907113224729335,0.13973489831022973,0.06141859759182433,0.0783163007184054,0.04057472427400588,0.0783163007184054,0.0783163007184054,0.050996660932915105,0.08873823737731462,0.02084387331781845,0.13973489831022973,0.0,0.0,0.0,1381,607,774,401,774,206,0,0
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,69884,0.69884,8149,9883,0.8245472022665182,3494,5000,0.12658099767277142,0.12819993928968937,0.16836992815946575,0.16938176667003946,0.042800768997268035,0.0010118385105737093,0.041788930486694326,0.001618941616917946,0.041788930486694326,0.041788930486694326,0.0013153900637458277,0.04148537893352221,-0.0006071031063442367,0.042800768997268035,0.0,0.0,0.0,423,10,413,16,413,-6,0,0
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,69884,0.69884,8149,9883,0.8245472022665182,6988,10000,0.21784883132652028,0.21805119902863504,0.28422543762015584,0.2885763432156228,0.07072751188910253,0.0043509055954669695,0.06637660629363556,0.00020236770211476407,0.06637660629363556,0.06637660629363556,0.002276636648790867,0.06845087524031167,0.0041485378933522055,0.07072751188910253,0.0,0.0,0.0,699,43,656,2,656,41,0,0
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,69884,0.69884,8149,9883,0.8245472022665182,13977,20000,0.35636952342406153,0.3596074066578974,0.44875037943944146,0.45907113224729335,0.10270160882323182,0.010320752807851885,0.09238085601537993,0.003237883233835892,0.09238085601537993,0.09238085601537993,0.006779318020843889,0.09592229080238793,0.007082869574015993,0.10270160882323182,0.0,0.0,0.0,1015,102,913,32,913,70,0,0
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,90121,0.90121,8054,9883,0.814934736416068,4506,5000,0.13416978650207426,0.1555195790751796,0.14438935545886877,0.16938176667003946,0.0352119801679652,0.024992411211170684,0.010219568956794517,0.021349792573105347,0.010219568956794517,0.010219568956794517,0.023171101892138016,0.012040878275827185,0.003642618638065337,0.0352119801679652,0.0,0.0,0.0,348,247,101,211,101,36,0,0
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,90121,0.90121,8054,9883,0.814934736416068,9012,10000,0.22574117170899524,0.26611352828088636,0.24334716179297783,0.2885763432156228,0.06283517150662757,0.04522918142264498,0.017605990083982587,0.040372356571891116,0.017605990083982587,0.017605990083982587,0.04280076899726805,0.02003440250935952,0.004856824850753866,0.06283517150662757,0.0,0.0,0.0,621,447,174,399,174,48,0,0
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,90121,0.90121,8054,9883,0.814934736416068,18024,20000,0.3627441060406759,0.4282100576747951,0.3884448042092482,0.45907113224729335,0.09632702620661743,0.07062632803804514,0.02570069816857229,0.06546595163411917,0.02570069816857229,0.02570069816857229,0.06804613983608215,0.028280886370535274,0.00516037640392597,0.09632702620661743,0.0,0.0,0.0,952,698,254,647,254,51,0,0
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.05,90030,0.9003,8845,9883,0.8949711626024487,4502,5000,0.1516745927349995,0.15541839522412224,0.16523322877668725,0.16938176667003946,0.017707173935039955,0.0041485378933522055,0.01355863604168775,0.003743802489122733,0.01355863604168775,0.01355863604168775,0.003946170191237469,0.013761003743802486,0.00040473540422947263,0.017707173935039955,0.0,0.0,0.0,175,41,134,37,134,4,0,0
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.1,90030,0.9003,8845,9883,0.8949711626024487,9003,10000,0.2586259233026409,0.2659111605787716,0.2767378326419104,0.2885763432156228,0.029950419912981918,0.011838510573712435,0.018111909339269483,0.007285237276130729,0.018111909339269483,0.018111909339269483,0.009561873924921582,0.020388545988060336,0.004553273297581706,0.029950419912981918,0.0,0.0,0.0,296,117,179,72,179,45,0,0
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.2,90030,0.9003,8845,9883,0.8949711626024487,18006,20000,0.4104016998886978,0.427906506121623,0.4380248912273601,0.45907113224729335,0.048669432358595555,0.021046241019933243,0.027623191338662312,0.01750480623292522,0.027623191338662312,0.027623191338662312,0.01927552362642923,0.029393908732166324,0.0035414347870080243,0.048669432358595555,0.0,0.0,0.0,481,208,273,173,273,35,0,0
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,89930,0.8993,9420,9883,0.9531518769604371,4496,5000,0.1551148436709501,0.15541839522412224,0.16917939896792472,0.16938176667003946,0.014266922999089354,0.00020236770211473631,0.014064555296974618,0.0003035515531721322,0.014064555296974618,0.014064555296974618,0.00025295962764343427,0.01401396337144592,-0.00010118385105739591,0.014266922999089354,0.0,0.0,0.0,141,2,139,3,139,-1,0,0
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,89930,0.8993,9420,9883,0.9531518769604371,8993,10000,0.2663158959830011,0.2657087928766569,0.2875645047050491,0.2885763432156228,0.022260447232621716,0.001011838510573737,0.02124860872204798,-0.0006071031063442089,0.02124860872204798,0.02124860872204798,0.00020236770211476407,0.022058079530506952,0.001618941616917946,0.022260447232621716,0.0,0.0,0.0,220,10,210,-6,210,16,0,0
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,89930,0.8993,9420,9883,0.9531518769604371,17986,20000,0.4289183446321967,0.4275017707173935,0.45826166143883434,0.45907113224729335,0.030152787615096655,0.0008094708084590008,0.029343316806637654,-0.0014165739148032097,0.029343316806637654,0.029343316806637654,-0.00030355155317210447,0.03045633916826876,0.0022260447232622105,0.030152787615096655,0.0,0.0,0.0,298,8,290,-14,290,22,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.05,50137,0.50137,3277,9883,0.3315794799150056,2507,5000,0.04229484974198118,0.07416776282505312,0.07396539512293838,0.13487807345947586,0.09258322371749468,0.060912678336537476,0.031670545380957205,0.03187291308307194,0.031670545380957205,0.031670545380957205,0.04639279570980471,0.04619042800768997,0.029039765253465535,0.09258322371749468,0.0,0.0,0.0,915,602,313,315,313,287,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.1,50137,0.50137,3277,9883,0.3315794799150056,5014,10000,0.07426894667611049,0.13528280886370536,0.1263786299706567,0.2360619245168471,0.1617929778407366,0.10968329454619041,0.0521096832945462,0.06101386218759487,0.0521096832945462,0.05210968329454618,0.08534857836689264,0.07644439947384396,0.04866943235859554,0.1617929778407366,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1599,1084,515,603,515,481,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.2,50137,0.50137,3277,9883,0.3315794799150056,10027,20000,0.12698573307700092,0.23656784377213397,0.20287362137002934,0.39573004148537894,0.26874430840837804,0.1928564201153496,0.07588788829302842,0.10958211069513304,0.07588788829302842,0.07588788829302845,0.15121926540524133,0.1175250430031367,0.08327430942021655,0.26874430840837804,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,2656,1906,750,1083,750,823,0,0
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.05,50069,0.50069,4972,9883,0.5030861074572498,2503,5000,0.06819791561266822,0.07416776282505312,0.11939694424769806,0.13487807345947586,0.06668015784680764,0.0154811292117778,0.05119902863502984,0.005969847212384902,0.05119902863502984,0.05119902863502984,0.01072548821208135,0.05595466963472629,0.009511281999392898,0.06668015784680764,0.0,0.0,0.0,659,153,506,59,506,94,0,0
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.1,50069,0.50069,4972,9883,0.5030861074572498,5007,10000,0.11939694424769806,0.1350804411615906,0.1988262673277345,0.2360619245168471,0.11666498026914904,0.03723565718911259,0.07942932308003645,0.015683496913892536,0.07942932308003645,0.07942932308003645,0.026459577051502564,0.09020540321764647,0.021552160275220056,0.11666498026914904,0.0,0.0,0.0,1153,368,785,155,785,213,0,0
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.2,50069,0.50069,4972,9883,0.5030861074572498,10014,20000,0.1991298188809066,0.23626429221896186,0.31822321157543254,0.39573004148537894,0.19660022260447232,0.0775068299099464,0.11909339269452593,0.03713447333805525,0.11909339269452593,0.11909339269452593,0.057320651624000823,0.1392795709804715,0.040372356571891144,0.19660022260447232,0.0,0.0,0.0,1943,766,1177,367,1177,399,0,0
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.05,49919,0.49919,6573,9883,0.6650814530001011,2496,5000,0.07406657897399575,0.073864211271881,0.13629464737427907,0.13487807345947586,0.06081149448548011,-0.0014165739148032097,0.06222806840028332,-0.0002023677021147502,0.06222806840028332,0.06222806840028332,-0.00080947080845898,0.06162096529393909,-0.0012142062126884595,0.06081149448548011,0.0,0.0,0.0,601,-14,615,-2,615,-12,0,0
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.1,49919,0.49919,6573,9883,0.6650814530001011,4992,10000,0.13599109582110694,0.13467570575736112,0.242841242537691,0.2360619245168471,0.10007082869574016,-0.006779318020843889,0.10685014671658405,-0.0013153900637458138,0.10685014671658405,0.10685014671658405,-0.004047354042294851,0.10411818273803501,-0.005463927957098075,0.10007082869574016,0.0,0.0,0.0,989,-67,1056,-13,1056,-54,0,0
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.2,49919,0.49919,6573,9883,0.6650814530001011,9984,20000,0.24253769098451888,0.23585955681473236,0.3979560862086411,0.39573004148537894,0.15319235050086005,-0.002226044723262155,0.1554183952241222,-0.00667813416978652,0.1554183952241222,0.1554183952241222,-0.004452089446524338,0.1576444399473844,0.0044520894465243654,0.15319235050086005,0.0,0.0,0.0,1514,-22,1536,-66,1536,44,0,0
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.05,70255,0.70255,5387,9883,0.5450774056460589,3513,5000,0.07072751188910249,0.09865425478093696,0.09389861378124051,0.13487807345947586,0.06415056157037337,0.04097945967823535,0.023171101892138016,0.027926742891834472,0.023171101892138016,0.023171101892138016,0.03445310128503491,0.029697460285338456,0.01305271678640088,0.06415056157037337,0.0,0.0,0.0,634,405,229,276,229,129,0,0
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.1,70255,0.70255,5387,9883,0.5450774056460589,7026,10000,0.12435495294950925,0.17889304866943237,0.16027522007487605,0.2360619245168471,0.11170697156733785,0.07578670444197105,0.03592026712536679,0.054538095719923116,0.03592026712536679,0.03592026712536679,0.06516240008094709,0.04654457148639076,0.021248608722047937,0.11170697156733785,0.0,0.0,-6.938893903907228e-18,1104,749,355,539,355,210,0,0
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.2,70255,0.70255,5387,9883,0.5450774056460589,14051,20000,0.20823636547607002,0.3084083780228675,0.26520287362137,0.39573004148537894,0.1874936760093089,0.13052716786400892,0.05696650814529999,0.1001720125467975,0.05696650814529999,0.05696650814529999,0.11534959020540321,0.0721440858039057,0.03035515531721142,0.1874936760093089,0.0,0.0,0.0,1853,1290,563,990,563,300,0,0
1,0.7,risk_independent,0.0,0.8472978603867887,medium,1.0,0.7071067811865475,0.05,69979,0.69979,6881,9883,0.6962460791257715,3499,5000,0.09349387837701102,0.09804715167459274,0.12506323990691084,0.13487807345947586,0.04138419508246484,0.009814833552565017,0.03156936152989982,0.00455327329758172,0.03156936152989982,0.03156936152989982,0.007184053425073368,0.03420014165739147,0.005261560254983297,0.04138419508246484,0.0,0.0,0.0,409,97,312,45,312,52,0,0
1,0.7,risk_independent,0.0,0.8472978603867887,medium,1.0,0.7071067811865475,0.1,69979,0.69979,6881,9883,0.6962460791257715,6998,10000,0.16442375796822828,0.1783871294141455,0.21784883132652028,0.2360619245168471,0.07163816654861882,0.018213093190326823,0.053425073358292,0.013963371445917222,0.053425073358292,0.053425073358292,0.016088232318122023,0.0555499342304968,0.004249721744409601,0.07163816654861882,0.0,0.0,0.0,708,180,528,138,528,42,0,0
1,0.7,risk_independent,0.0,0.8472978603867887,medium,1.0,0.7071067811865475,0.2,69979,0.69979,6881,9883,0.6962460791257715,13996,20000,0.2769402003440251,0.307700091065466,0.35242335323282403,0.39573004148537894,0.11878984114135382,0.043306688252554904,0.07548315288879892,0.030759890721440863,0.07548315288879892,0.07548315288879892,0.037033289486997883,0.08175655165435594,0.01254679753111404,0.11878984114135382,0.0,0.0,0.0,1174,428,746,304,746,124,0,0
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.05,69884,0.69884,8149,9883,0.8245472022665182,3494,5000,0.09905899018516645,0.09784478397247799,0.1357887281189922,0.13487807345947586,0.03581908327430941,-0.0009106546595163412,0.03672973793382575,-0.0012142062126884595,0.03672973793382575,0.03672973793382575,-0.0010624304361024003,0.03688151371041181,0.00030355155317211835,0.03581908327430941,0.0,0.0,0.0,354,-9,363,-12,363,3,0,0
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.1,69884,0.69884,8149,9883,0.8245472022665182,6988,10000,0.1783871294141455,0.17828594556308813,0.2400080947080846,0.2360619245168471,0.0576747951027016,-0.003946170191237497,0.061620965293939095,-0.00010118385105736816,0.061620965293939095,0.061620965293939095,-0.0020236770211474325,0.05969847212384903,-0.0038449863401801287,0.0576747951027016,0.0,0.0,0.0,570,-39,609,-1,609,-38,0,0
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.2,69884,0.69884,8149,9883,0.8245472022665182,13977,20000,0.30810482646969545,0.3075989072144086,0.3974501669533542,0.39573004148537894,0.08762521501568349,-0.0017201254679752864,0.08934534048365878,-0.0005059192552868685,0.08934534048365878,0.08934534048365878,-0.0011130223616310775,0.08873823737731457,-0.0012142062126884179,0.08762521501568349,0.0,0.0,0.0,866,-17,883,-5,883,-12,0,0
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,medium,1.0,0.7071067811865475,0.05,90121,0.90121,8054,9883,0.814934736416068,4506,5000,0.10604067590812506,0.1224324597794192,0.1157543256096327,0.13487807345947586,0.0288373975513508,0.019123747849843165,0.009713649701507635,0.01639178387129414,0.009713649701507635,0.009713649701507635,0.017757765860568653,0.011079631690782146,0.0027319639785490235,0.0288373975513508,0.0,0.0,0.0,285,189,96,162,96,27,0,0
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,medium,1.0,0.7071067811865475,0.1,90121,0.90121,8054,9883,0.814934736416068,9012,10000,0.18779722756248102,0.2171405443691187,0.20459374683800466,0.2360619245168471,0.04826469695436608,0.03146817767884244,0.01679651927552364,0.02934331680663768,0.01679651927552364,0.01679651927552364,0.03040574724274006,0.01785894971162602,0.002124860872204759,0.04826469695436608,0.0,0.0,0.0,477,311,166,290,166,21,0,0
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,medium,1.0,0.7071067811865475,0.2,90121,0.90121,8054,9883,0.814934736416068,18024,20000,0.3121521805119903,0.3683092178488313,0.33724577557421836,0.39573004148537894,0.08357786097338865,0.05848426591116057,0.02509359506222808,0.05615703733684102,0.02509359506222808,0.02509359506222808,0.057320651624000796,0.026257209349387856,0.002327228574319551,0.08357786097338865,0.0,0.0,0.0,826,578,248,555,248,23,0,0
1,0.9,risk_independent,0.0,2.197224577337238,medium,1.0,0.7071067811865475,0.05,90030,0.9003,8845,9883,0.8949711626024487,4502,5000,0.12091470201355864,0.1224324597794192,0.13214610948092684,0.13487807345947586,0.013963371445917222,0.0027319639785490235,0.011231407467368199,0.001517757765860564,0.011231407467368199,0.011231407467368199,0.0021248608722047937,0.011838510573712428,0.0012142062126884595,0.013963371445917222,0.0,0.0,0.0,138,27,111,15,111,12,0,0
1,0.9,risk_independent,0.0,2.197224577337238,medium,1.0,0.7071067811865475,0.1,90030,0.9003,8845,9883,0.8949711626024487,9003,10000,0.21167661641202065,0.21703936051806133,0.23171101892138016,0.2360619245168471,0.024385308104826448,0.004350905595466942,0.020034402509359506,0.005362744106040679,0.020034402509359506,0.020034402509359506,0.00485682485075381,0.019528483254072637,-0.001011838510573737,0.024385308104826448,0.0,0.0,0.0,241,43,198,53,198,-10,0,0
1,0.9,risk_independent,0.0,2.197224577337238,medium,1.0,0.7071067811865475,0.2,90030,0.9003,8845,9883,0.8949711626024487,18006,20000,0.3543458464029141,0.3678032985935445,0.3800465445714864,0.39573004148537894,0.041384195082464825,0.015683496913892536,0.02570069816857229,0.013457452190630381,0.02570069816857229,0.02570069816857229,0.014570474552261459,0.026813720530203367,0.002226044723262155,0.041384195082464825,0.0,0.0,0.0,409,155,254,133,254,22,0,0
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,medium,1.0,0.7071067811865475,0.05,89930,0.8993,9420,9883,0.9531518769604371,4496,5000,0.12344429828999291,0.12212890822624708,0.1350804411615906,0.13487807345947586,0.011433775169482949,-0.00020236770211473631,0.011636142871597685,-0.0013153900637458277,0.011636142871597685,0.011636142871597685,-0.000758878882930282,0.01219265405241323,0.0011130223616310914,0.011433775169482949,0.0,0.0,0.0,113,-2,115,-13,115,11,0,0
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,medium,1.0,0.7071067811865475,0.1,89930,0.8993,9420,9883,0.9531518769604371,8993,10000,0.21724172822017607,0.21683699281594657,0.23727613072953557,0.2360619245168471,0.018820196296671032,-0.0012142062126884734,0.020034402509359506,-0.0004047354042295004,0.020034402509359506,0.020034402509359506,-0.0008094708084589869,0.01962966710513002,-0.000809470808458973,0.018820196296671032,0.0,0.0,0.0,186,-12,198,-4,198,-8,0,0
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,medium,1.0,0.7071067811865475,0.2,89930,0.8993,9420,9883,0.9531518769604371,17986,20000,0.3671961954872002,0.36739856318931496,0.39714661540018215,0.39573004148537894,0.02853384599817871,-0.0014165739148032097,0.029950419912981918,0.00020236770211473631,0.029950419912981918,0.029950419912981918,-0.0006071031063442367,0.029140949104522945,-0.001618941616917946,0.02853384599817871,0.0,0.0,0.0,282,-14,296,2,296,-16,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,weak,2.0,0.4472135954999579,0.05,50137,0.50137,3277,9883,0.3315794799150056,2507,5000,0.030861074572498228,0.05291915410300516,0.055651118081554186,0.09582110695133057,0.06496003237883234,0.04016998886977639,0.02479004350905596,0.022058079530506935,0.02479004350905596,0.024790043509055955,0.03111403420014166,0.03384599817869068,0.018111909339269452,0.06496003237883234,-3.469446951953614e-18,-6.938893903907228e-18,0.0,642,397,245,218,245,179,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,weak,2.0,0.4472135954999579,0.1,50137,0.50137,3277,9883,0.3315794799150056,5014,10000,0.055752301932611555,0.09622584235556006,0.0995649094404533,0.1755539815845391,0.11980167965192756,0.0759890721440858,0.04381260750784175,0.040473540422948505,0.04381260750784175,0.04381260750784176,0.05823130628351715,0.0615703733684104,0.0355155317211373,0.11980167965192756,6.938893903907228e-18,0.0,1.3877787807814457e-17,1184,751,433,400,433,351,0,0
