source_path	destination_path	source_sha256	destination_sha256	transformed	status	notes
metadata/design/cohort_flow.csv	metadata/design/cohort_flow.csv	a967c1ddab68a630f7fb0b68926fd84e66ee7a42d5a1c8869736cfd7e3783315	a967c1ddab68a630f7fb0b68926fd84e66ee7a42d5a1c8869736cfd7e3783315	no	PASS	byte-identical copy
data/cdc_temporal_harmonized/column_quality.csv	metadata/harmonization/column_quality.csv	3c30c478d634f2bff52d6d41dd775ddf73a7927aa6a0c1c6d06f66e3ae8cb264	3c30c478d634f2bff52d6d41dd775ddf73a7927aa6a0c1c6d06f66e3ae8cb264	no	PASS	byte-identical copy
data/cdc_temporal_harmonized/existing_derived_column_check.csv	metadata/harmonization/existing_derived_column_check.csv	4906a9124ca9adbae3cc5d7841cc4ac6291df487b4c4ababe818ce611ee58e1f	4906a9124ca9adbae3cc5d7841cc4ac6291df487b4c4ababe818ce611ee58e1f	no	PASS	byte-identical copy
data/cdc_temporal_harmonized/schema_diff_2022_2023.csv	metadata/harmonization/schema_diff_2022_2023.csv	11128ce0ce8d48d80dfafc63e15c6d474d931dd451df0e6a090e0a7c1a0fa08c	11128ce0ce8d48d80dfafc63e15c6d474d931dd451df0e6a090e0a7c1a0fa08c	no	PASS	byte-identical copy
data/cdc_temporal_harmonized/target_prevalence.csv	metadata/harmonization/target_prevalence.csv	ea185344b43a2ea05697e746bc2b7bb0c0a68430c91e60bbf1971eaf73fcd6f1	ea185344b43a2ea05697e746bc2b7bb0c0a68430c91e60bbf1971eaf73fcd6f1	no	PASS	byte-identical copy
results/article_revision_fixed_model/singleton_fixed_budget_results.csv	results/canonical_tables/singleton_fixed_budget_results.csv	6db9c941e29826c95200b3ee7a835afefbdb8f670ce3c99332d495ae7211c8eb	6db9c941e29826c95200b3ee7a835afefbdb8f670ce3c99332d495ae7211c8eb	no	PASS	byte-identical copy
results/article_revision_fixed_model/singleton_fixed_budget_comparisons.csv	results/canonical_tables/singleton_fixed_budget_comparisons.csv	827a9f7014e34b58f3672fe944402ca5b9d90b6fde7d3c4a3fe01be270c6e6b7	827a9f7014e34b58f3672fe944402ca5b9d90b6fde7d3c4a3fe01be270c6e6b7	no	PASS	byte-identical copy
results/article_revision_fixed_model/paired_bootstrap_summary.csv	results/canonical_tables/paired_bootstrap_summary.csv	070cbd5a79f1770a508b7432bc565172b79b2217187fe0810a7a89aefe6dea91	070cbd5a79f1770a508b7432bc565172b79b2217187fe0810a7a89aefe6dea91	no	PASS	byte-identical copy
results/article_revision_fixed_model/mechanism_table_10pct.csv	results/canonical_tables/mechanism_table_10pct.csv	a96cd22d1e0e73f7873964d75aa4320df8c546c7b168e2ab443f8380e304e992	a96cd22d1e0e73f7873964d75aa4320df8c546c7b168e2ab443f8380e304e992	no	PASS	byte-identical copy
results/article_revision_fixed_model/mechanism_table_10pct_comparisons.csv	results/canonical_tables/mechanism_table_10pct_comparisons.csv	7006713ef6130bfc757fa90d718d1e886916bd55821006381f41d73a8712a0b0	7006713ef6130bfc757fa90d718d1e886916bd55821006381f41d73a8712a0b0	no	PASS	byte-identical copy
results/article_revision_fixed_model/lightgbm_calibration_metrics.csv	results/canonical_tables/lightgbm_calibration_metrics.csv	0ea87a4bf7b3b638c3f1c8f02fa2fe22ea538a835ad0299c4c24c6ec24e9f3ba	0ea87a4bf7b3b638c3f1c8f02fa2fe22ea538a835ad0299c4c24c6ec24e9f3ba	no	PASS	byte-identical copy
results/article_revision_fixed_model/lightgbm_platt_calibrators.csv	results/canonical_tables/lightgbm_platt_calibrators.csv	8c1e010625f687db81e6c9712a7d97b55cabb51ae22ab6d07df3b25b5747cd3c	8c1e010625f687db81e6c9712a7d97b55cabb51ae22ab6d07df3b25b5747cd3c	no	PASS	byte-identical copy
results/article_revision_fixed_model/lightgbm_raw_vs_calibrated.csv	results/canonical_tables/lightgbm_raw_vs_calibrated.csv	456b99260f190b0bdafca4800589f7e130e6b573dc8be68abe15dac545f79edd	456b99260f190b0bdafca4800589f7e130e6b573dc8be68abe15dac545f79edd	no	PASS	byte-identical copy
results/article_revision_fixed_model/lightgbm_reliability_curve_points.csv	results/canonical_tables/lightgbm_reliability_curve_points.csv	5cecca7af9494e524e50e65f1471abb6c8a7271174e25a33dae07ff7a54969ec	5cecca7af9494e524e50e65f1471abb6c8a7271174e25a33dae07ff7a54969ec	no	PASS	byte-identical copy
results/article_revision_fixed_model/all_births_fixed_budget_results.csv	results/canonical_tables/all_births_fixed_budget_results.csv	ffb85c8f040f83f45b23ac5c526f104a6e9df8a955209e54b9708bbdd2260cb8	ffb85c8f040f83f45b23ac5c526f104a6e9df8a955209e54b9708bbdd2260cb8	no	PASS	byte-identical copy
results/article_revision_fixed_model/all_births_fixed_budget_comparisons.csv	results/canonical_tables/all_births_fixed_budget_comparisons.csv	a1d955b6a01f6706ba3e6d7727a009ba0de68801b1a4bfcbb4571c512a9f6471	a1d955b6a01f6706ba3e6d7727a009ba0de68801b1a4bfcbb4571c512a9f6471	no	PASS	byte-identical copy
results/article_revision_fixed_model/article_revision_summary.md	results/canonical_tables/article_revision_summary.md	c920a14cd4050606d1d4f9b7d62b3011494322f89c31bee48dd99228dd33d801	c920a14cd4050606d1d4f9b7d62b3011494322f89c31bee48dd99228dd33d801	no	PASS	byte-identical copy
claim_sheet.md	docs/claim_sheet.md	de96df4141c602a0a8c7faf08ae9a2e5be00b73a241bb6c5c2cec1769146e8cb	de96df4141c602a0a8c7faf08ae9a2e5be00b73a241bb6c5c2cec1769146e8cb	no	PASS	byte-identical copy
results/article_revision_fixed_model/run_manifest(8).json	metadata/manifests/article_revision_run.json	106b0eff39141c61fc3907caf12408914e607defe43cea3691416f627541971b	35ba75ad2b444182f47d4cbdf933485624b6bb9c4d6d63384440f1e1c44cdabd	yes	PASS	sanitized runtime paths and added publication note
