replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,realized_available_n,realized_available_fraction,full_population_event_n,available_event_n,event_availability_ceiling
3,0.5,higher_risk_more_available,1.0,0.0,50117,0.50117,9822,6612,0.6731826511912035
3,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70115,0.70115,9822,5398,0.5495825697413969
3,0.7,risk_independent,0.0,0.8472978603867887,70214,0.70214,9822,6942,0.7067806963958461
3,0.7,higher_risk_more_available,1.0,1.0184006519909872,70071,0.70071,9822,8196,0.8344532681734881
3,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90088,0.90088,9822,8025,0.8170433720219914
3,0.9,risk_independent,0.0,2.197224577337238,90137,0.90137,9822,8863,0.9023620443901446
3,0.9,higher_risk_more_available,1.0,2.5642215001107616,90066,0.90066,9822,9347,0.9516391773569538
4,0.5,higher_risk_less_available,-1.0,0.0,50231,0.50231,10149,3342,0.32929352645580845
4,0.5,risk_independent,0.0,0.0,50245,0.50245,10149,5088,0.5013301803133313
4,0.5,higher_risk_more_available,1.0,0.0,50211,0.50211,10149,6836,0.6735638979209775
4,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70114,0.70114,10149,5502,0.5421223765888264
4,0.7,risk_independent,0.0,0.8472978603867887,70337,0.70337,10149,7152,0.7046999704404375
4,0.7,higher_risk_more_available,1.0,1.0184006519909872,70370,0.7037,10149,8444,0.8320031530200019
4,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90044,0.90044,10149,8304,0.8182086905113805
4,0.9,risk_independent,0.0,2.197224577337238,90161,0.90161,10149,9176,0.9041284855650803
4,0.9,higher_risk_more_available,1.0,2.5642215001107616,90152,0.90152,10149,9657,0.9515223174697014
5,0.5,higher_risk_less_available,-1.0,0.0,50015,0.50015,9850,3331,0.3381725888324873
5,0.5,risk_independent,0.0,0.0,49849,0.49849,9850,4947,0.5022335025380711
5,0.5,higher_risk_more_available,1.0,0.0,49933,0.49933,9850,6561,0.6660913705583756
5,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69872,0.69872,9850,5372,0.5453807106598985
5,0.7,risk_independent,0.0,0.8472978603867887,70017,0.70017,9850,6959,0.706497461928934
5,0.7,higher_risk_more_available,1.0,1.0184006519909872,69978,0.69978,9850,8187,0.8311675126903554
5,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90104,0.90104,9850,8095,0.8218274111675127
5,0.9,risk_independent,0.0,2.197224577337238,90097,0.90097,9850,8892,0.902741116751269
5,0.9,higher_risk_more_available,1.0,2.5642215001107616,90106,0.90106,9850,9403,0.9546192893401015
6,0.5,higher_risk_less_available,-1.0,0.0,49914,0.49914,10160,3368,0.331496062992126
6,0.5,risk_independent,0.0,0.0,50053,0.50053,10160,5099,0.5018700787401574
6,0.5,higher_risk_more_available,1.0,0.0,50084,0.50084,10160,6799,0.6691929133858268
6,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70058,0.70058,10160,5509,0.5422244094488189
6,0.7,risk_independent,0.0,0.8472978603867887,70165,0.70165,10160,7195,0.7081692913385826
6,0.7,higher_risk_more_available,1.0,1.0184006519909872,70212,0.70212,10160,8470,0.8336614173228346
6,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90058,0.90058,10160,8347,0.8215551181102362
6,0.9,risk_independent,0.0,2.197224577337238,90078,0.90078,10160,9178,0.9033464566929134
6,0.9,higher_risk_more_available,1.0,2.5642215001107616,90082,0.90082,10160,9654,0.9501968503937008
7,0.5,higher_risk_less_available,-1.0,0.0,49773,0.49773,10184,3372,0.33110761979575803
7,0.5,risk_independent,0.0,0.0,49947,0.49947,10184,5068,0.497643362136685
7,0.5,higher_risk_more_available,1.0,0.0,50047,0.50047,10184,6775,0.6652592301649647
7,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70005,0.70005,10184,5563,0.546249018067557
7,0.7,risk_independent,0.0,0.8472978603867887,70024,0.70024,10184,7147,0.7017871170463472
7,0.7,higher_risk_more_available,1.0,1.0184006519909872,70041,0.70041,10184,8433,0.8280636292223095
7,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89941,0.89941,10184,8309,0.8158876669285153
7,0.9,risk_independent,0.0,2.197224577337238,89981,0.89981,10184,9162,0.8996465043205027
7,0.9,higher_risk_more_available,1.0,2.5642215001107616,90040,0.9004,10184,9693,0.9517871170463472
8,0.5,higher_risk_less_available,-1.0,0.0,49878,0.49878,9945,3290,0.3308195072900955
8,0.5,risk_independent,0.0,0.0,49733,0.49733,9945,4893,0.49200603318250374
8,0.5,higher_risk_more_available,1.0,0.0,49573,0.49573,9945,6568,0.6604323780794369
8,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69991,0.69991,9945,5321,0.535042735042735
8,0.7,risk_independent,0.0,0.8472978603867887,69828,0.69828,9945,6955,0.6993464052287581
8,0.7,higher_risk_more_available,1.0,1.0184006519909872,69645,0.69645,9945,8178,0.8223227752639517
8,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90092,0.90092,9945,8133,0.8177978883861237
8,0.9,risk_independent,0.0,2.197224577337238,90070,0.9007,9945,8943,0.8992458521870287
8,0.9,higher_risk_more_available,1.0,2.5642215001107616,90037,0.90037,9945,9480,0.9532428355957768
9,0.5,higher_risk_less_available,-1.0,0.0,50433,0.50433,9915,3383,0.3412002017145739
9,0.5,risk_independent,0.0,0.0,50149,0.50149,9915,5019,0.5062027231467473
9,0.5,higher_risk_more_available,1.0,0.0,50036,0.50036,9915,6652,0.6709026727181039
9,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70172,0.70172,9915,5375,0.5421079172970247
9,0.7,risk_independent,0.0,0.8472978603867887,70196,0.70196,9915,6996,0.7055975794251135
9,0.7,higher_risk_more_available,1.0,1.0184006519909872,70101,0.70101,9915,8278,0.8348966212808876
9,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90057,0.90057,9915,8133,0.8202723146747353
9,0.9,risk_independent,0.0,2.197224577337238,90052,0.90052,9915,8946,0.9022692889561271
9,0.9,higher_risk_more_available,1.0,2.5642215001107616,89926,0.89926,9915,9442,0.9522945032778618
10,0.5,higher_risk_less_available,-1.0,0.0,50152,0.50152,10036,3329,0.3317058589079315
10,0.5,risk_independent,0.0,0.0,50135,0.50135,10036,5001,0.4983060980470307
10,0.5,higher_risk_more_available,1.0,0.0,50185,0.50185,10036,6682,0.6658031088082902
10,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70132,0.70132,10036,5485,0.5465324830609805
10,0.7,risk_independent,0.0,0.8472978603867887,70125,0.70125,10036,7051,0.7025707453168593
10,0.7,higher_risk_more_available,1.0,1.0184006519909872,70193,0.70193,10036,8378,0.8347947389398167
10,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89994,0.89994,10036,8241,0.821143882024711
10,0.9,risk_independent,0.0,2.197224577337238,89958,0.89958,10036,9050,0.90175368672778
10,0.9,higher_risk_more_available,1.0,2.5642215001107616,89944,0.89944,10036,9606,0.9571542447190116
11,0.5,higher_risk_less_available,-1.0,0.0,49803,0.49803,9990,3279,0.3282282282282282
11,0.5,risk_independent,0.0,0.0,49867,0.49867,9990,4945,0.494994994994995
11,0.5,higher_risk_more_available,1.0,0.0,49802,0.49802,9990,6616,0.6622622622622623
11,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69991,0.69991,9990,5375,0.5380380380380381
11,0.7,risk_independent,0.0,0.8472978603867887,69971,0.69971,9990,6877,0.6883883883883883
11,0.7,higher_risk_more_available,1.0,1.0184006519909872,69862,0.69862,9990,8269,0.8277277277277277
11,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90048,0.90048,9990,8135,0.8143143143143143
11,0.9,risk_independent,0.0,2.197224577337238,90002,0.90002,9990,8994,0.9003003003003003
11,0.9,higher_risk_more_available,1.0,2.5642215001107616,90034,0.90034,9990,9530,0.953953953953954
12,0.5,higher_risk_less_available,-1.0,0.0,50199,0.50199,10010,3360,0.3356643356643357
12,0.5,risk_independent,0.0,0.0,50227,0.50227,10010,5058,0.5052947052947053
12,0.5,higher_risk_more_available,1.0,0.0,49981,0.49981,10010,6720,0.6713286713286714
12,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70160,0.7016,10010,5487,0.5481518481518481
12,0.7,risk_independent,0.0,0.8472978603867887,70094,0.70094,10010,7054,0.7046953046953047
12,0.7,higher_risk_more_available,1.0,1.0184006519909872,70025,0.70025,10010,8342,0.8333666333666334
12,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89974,0.89974,10010,8181,0.8172827172827173
12,0.9,risk_independent,0.0,2.197224577337238,89914,0.89914,10010,9031,0.9021978021978022
12,0.9,higher_risk_more_available,1.0,2.5642215001107616,89965,0.89965,10010,9573,0.9563436563436564
13,0.5,higher_risk_less_available,-1.0,0.0,49933,0.49933,9767,3258,0.33357223302958944
13,0.5,risk_independent,0.0,0.0,50120,0.5012,9767,4880,0.49964165045561587
13,0.5,higher_risk_more_available,1.0,0.0,49967,0.49967,9767,6491,0.6645848264564349
13,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70149,0.70149,9767,5284,0.5410054264359578
13,0.7,risk_independent,0.0,0.8472978603867887,69957,0.69957,9767,6842,0.7005221664789598
13,0.7,higher_risk_more_available,1.0,1.0184006519909872,69880,0.6988,9767,8066,0.8258421214293028
13,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89951,0.89951,9767,7972,0.8162178765229856
13,0.9,risk_independent,0.0,2.197224577337238,89965,0.89965,9767,8769,0.8978191870584622
13,0.9,higher_risk_more_available,1.0,2.5642215001107616,89964,0.89964,9767,9298,0.9519811610525238
14,0.5,higher_risk_less_available,-1.0,0.0,49880,0.4988,10077,3286,0.3260891138235586
14,0.5,risk_independent,0.0,0.0,49884,0.49884,10077,4967,0.4929046343157686
14,0.5,higher_risk_more_available,1.0,0.0,50042,0.50042,10077,6695,0.6643842413416692
14,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69874,0.69874,10077,5427,0.5385531408157189
14,0.7,risk_independent,0.0,0.8472978603867887,70044,0.70044,10077,7080,0.7025900565644537
14,0.7,higher_risk_more_available,1.0,1.0184006519909872,70003,0.70003,10077,8356,0.8292150441599683
14,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89977,0.89977,10077,8227,0.8164136151632431
14,0.9,risk_independent,0.0,2.197224577337238,89936,0.89936,10077,9081,0.9011610598392379
14,0.9,higher_risk_more_available,1.0,2.5642215001107616,89909,0.89909,10077,9619,0.9545499652674407
15,0.5,higher_risk_less_available,-1.0,0.0,49809,0.49809,9965,3300,0.33115905669844453
15,0.5,risk_independent,0.0,0.0,49858,0.49858,9965,5048,0.5065730055193176
15,0.5,higher_risk_more_available,1.0,0.0,50055,0.50055,9965,6698,0.6721525338685399
15,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69809,0.69809,9965,5450,0.5469141996989463
15,0.7,risk_independent,0.0,0.8472978603867887,70015,0.70015,9965,7048,0.7072754641244355
15,0.7,higher_risk_more_available,1.0,1.0184006519909872,70089,0.70089,9965,8291,0.8320120421475163
15,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90031,0.90031,9965,8193,0.8221776216758655
15,0.9,risk_independent,0.0,2.197224577337238,90052,0.90052,9965,9028,0.9059708981435023
15,0.9,higher_risk_more_available,1.0,2.5642215001107616,90075,0.90075,9965,9508,0.9541394882087305
16,0.5,higher_risk_less_available,-1.0,0.0,50032,0.50032,9985,3340,0.33450175262894344
16,0.5,risk_independent,0.0,0.0,49890,0.4989,9985,5009,0.5016524787180772
16,0.5,higher_risk_more_available,1.0,0.0,49746,0.49746,9985,6623,0.6632949424136204
16,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69862,0.69862,9985,5428,0.543615423134702
16,0.7,risk_independent,0.0,0.8472978603867887,69829,0.69829,9985,6953,0.6963445167751627
16,0.7,higher_risk_more_available,1.0,1.0184006519909872,69796,0.69796,9985,8250,0.8262393590385578
16,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89922,0.89922,9985,8146,0.8158237356034052
16,0.9,risk_independent,0.0,2.197224577337238,89905,0.89905,9985,8966,0.8979469203805709
16,0.9,higher_risk_more_available,1.0,2.5642215001107616,89861,0.89861,9985,9478,0.9492238357536305
17,0.5,higher_risk_less_available,-1.0,0.0,49908,0.49908,10027,3401,0.33918420265283733
17,0.5,risk_independent,0.0,0.0,49898,0.49898,10027,5030,0.5016455569961105
17,0.5,higher_risk_more_available,1.0,0.0,49850,0.4985,10027,6706,0.6687942555101226
17,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69942,0.69942,10027,5448,0.5433330008975765
17,0.7,risk_independent,0.0,0.8472978603867887,69900,0.699,10027,7014,0.6995113194375187
17,0.7,higher_risk_more_available,1.0,1.0184006519909872,69987,0.69987,10027,8349,0.8326518400319138
17,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89868,0.89868,10027,8203,0.8180911538845118
17,0.9,risk_independent,0.0,2.197224577337238,89952,0.89952,10027,9031,0.9006681958711479
17,0.9,higher_risk_more_available,1.0,2.5642215001107616,89978,0.89978,10027,9565,0.953924404108906
18,0.5,higher_risk_less_available,-1.0,0.0,49954,0.49954,10050,3405,0.33880597014925373
18,0.5,risk_independent,0.0,0.0,49983,0.49983,10050,5044,0.5018905472636815
18,0.5,higher_risk_more_available,1.0,0.0,50101,0.50101,10050,6773,0.6739303482587065
18,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69944,0.69944,10050,5450,0.5422885572139303
18,0.7,risk_independent,0.0,0.8472978603867887,70023,0.70023,10050,7101,0.7065671641791045
18,0.7,higher_risk_more_available,1.0,1.0184006519909872,70017,0.70017,10050,8328,0.8286567164179105
18,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90051,0.90051,10050,8254,0.8212935323383085
18,0.9,risk_independent,0.0,2.197224577337238,90096,0.90096,10050,9104,0.9058706467661691
18,0.9,higher_risk_more_available,1.0,2.5642215001107616,90058,0.90058,10050,9609,0.9561194029850746
19,0.5,higher_risk_less_available,-1.0,0.0,50060,0.5006,9913,3276,0.33047513366286696
19,0.5,risk_independent,0.0,0.0,49847,0.49847,9913,4895,0.49379602542116413
19,0.5,higher_risk_more_available,1.0,0.0,50089,0.50089,9913,6584,0.6641783516594371
19,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70043,0.70043,9913,5323,0.5369716533844446
19,0.7,risk_independent,0.0,0.8472978603867887,69994,0.69994,9913,6892,0.6952486633713306
19,0.7,higher_risk_more_available,1.0,1.0184006519909872,70002,0.70002,9913,8229,0.8301220619388682
19,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89889,0.89889,9913,8042,0.8112579441137899
19,0.9,risk_independent,0.0,2.197224577337238,90024,0.90024,9913,8906,0.8984162211237768
19,0.9,higher_risk_more_available,1.0,2.5642215001107616,90111,0.90111,9913,9440,0.9522848784424494
20,0.5,higher_risk_less_available,-1.0,0.0,49884,0.49884,9883,3277,0.3315794799150056
20,0.5,risk_independent,0.0,0.0,49951,0.49951,9883,4978,0.5036932105635941
20,0.5,higher_risk_more_available,1.0,0.0,49903,0.49903,9883,6641,0.6719619548720024
20,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70230,0.7023,9883,5380,0.5443691186886573
20,0.7,risk_independent,0.0,0.8472978603867887,69923,0.69923,9883,6966,0.7048467064656481
20,0.7,higher_risk_more_available,1.0,1.0184006519909872,69920,0.6992,9883,8240,0.833754932712739
20,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90142,0.90142,9883,8167,0.8263685115855509
20,0.9,risk_independent,0.0,2.197224577337238,89986,0.89986,9883,8930,0.9035717899423252
20,0.9,higher_risk_more_available,1.0,2.5642215001107616,89968,0.89968,9883,9404,0.9515329353435191
21,0.5,higher_risk_less_available,-1.0,0.0,50240,0.5024,9946,3333,0.33510959179569677
21,0.5,risk_independent,0.0,0.0,50118,0.50118,9946,4961,0.4987934848180173
21,0.5,higher_risk_more_available,1.0,0.0,50026,0.50026,9946,6652,0.668811582545747
21,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70076,0.70076,9946,5413,0.5442388900060325
21,0.7,risk_independent,0.0,0.8472978603867887,69961,0.69961,9946,6972,0.7009853207319525
21,0.7,higher_risk_more_available,1.0,1.0184006519909872,70137,0.70137,9946,8278,0.8322943897044037
21,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90075,0.90075,9946,8142,0.8186205509752664
21,0.9,risk_independent,0.0,2.197224577337238,90048,0.90048,9946,8995,0.9043836718278705
21,0.9,higher_risk_more_available,1.0,2.5642215001107616,90038,0.90038,9946,9502,0.9553589382666399
22,0.5,higher_risk_less_available,-1.0,0.0,50006,0.50006,9994,3337,0.33390034020412246
22,0.5,risk_independent,0.0,0.0,50181,0.50181,9994,4981,0.4983990394236542
22,0.5,higher_risk_more_available,1.0,0.0,50089,0.50089,9994,6602,0.6605963578146888
22,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69973,0.69973,9994,5377,0.5380228136882129
22,0.7,risk_independent,0.0,0.8472978603867887,70047,0.70047,9994,6954,0.6958174904942965
22,0.7,higher_risk_more_available,1.0,1.0184006519909872,70064,0.70064,9994,8271,0.8275965579347608
22,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89970,0.8997,9994,8171,0.8175905543325995
22,0.9,risk_independent,0.0,2.197224577337238,90026,0.90026,9994,9014,0.9019411646988192
22,0.9,higher_risk_more_available,1.0,2.5642215001107616,90186,0.90186,9994,9552,0.9557734640784471
23,0.5,higher_risk_less_available,-1.0,0.0,49971,0.49971,9850,3224,0.32730964467005075
23,0.5,risk_independent,0.0,0.0,50111,0.50111,9850,4907,0.49817258883248733
23,0.5,higher_risk_more_available,1.0,0.0,49935,0.49935,9850,6595,0.6695431472081218
23,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69927,0.69927,9850,5290,0.5370558375634518
23,0.7,risk_independent,0.0,0.8472978603867887,70036,0.70036,9850,6913,0.7018274111675127
23,0.7,higher_risk_more_available,1.0,1.0184006519909872,70043,0.70043,9850,8160,0.8284263959390863
23,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90043,0.90043,9850,8105,0.8228426395939086
23,0.9,risk_independent,0.0,2.197224577337238,90007,0.90007,9850,8880,0.9015228426395939
23,0.9,higher_risk_more_available,1.0,2.5642215001107616,89980,0.8998,9850,9389,0.9531979695431472
24,0.5,higher_risk_less_available,-1.0,0.0,50057,0.50057,10017,3319,0.33133672756314264
24,0.5,risk_independent,0.0,0.0,50039,0.50039,10017,4966,0.49575721273834483
24,0.5,higher_risk_more_available,1.0,0.0,50014,0.50014,10017,6675,0.666367175801138
24,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69999,0.69999,10017,5359,0.5349905161225916
24,0.7,risk_independent,0.0,0.8472978603867887,69979,0.69979,10017,6968,0.6956174503344315
24,0.7,higher_risk_more_available,1.0,1.0184006519909872,70057,0.70057,10017,8261,0.8246980133772587
24,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90030,0.9003,10017,8169,0.8155136268343816
24,0.9,risk_independent,0.0,2.197224577337238,90016,0.90016,10017,9018,0.9002695417789758
24,0.9,higher_risk_more_available,1.0,2.5642215001107616,89911,0.89911,10017,9547,0.9530797644005191
25,0.5,higher_risk_less_available,-1.0,0.0,50066,0.50066,10007,3379,0.33766363545518135
25,0.5,risk_independent,0.0,0.0,49954,0.49954,10007,5026,0.5022484261017288
25,0.5,higher_risk_more_available,1.0,0.0,50061,0.50061,10007,6657,0.6652343359648246
25,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70032,0.70032,10007,5479,0.5475167382832018
25,0.7,risk_independent,0.0,0.8472978603867887,70055,0.70055,10007,7014,0.7009093634455881
25,0.7,higher_risk_more_available,1.0,1.0184006519909872,70198,0.70198,10007,8304,0.829819126611372
25,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90064,0.90064,10007,8160,0.8154291995603078
25,0.9,risk_independent,0.0,2.197224577337238,90069,0.90069,10007,8980,0.8973718397122015
25,0.9,higher_risk_more_available,1.0,2.5642215001107616,90091,0.90091,10007,9550,0.9543319676226641
26,0.5,higher_risk_less_available,-1.0,0.0,50010,0.5001,9997,3309,0.330999299789937
26,0.5,risk_independent,0.0,0.0,49786,0.49786,9997,5007,0.5008502550765229
26,0.5,higher_risk_more_available,1.0,0.0,49911,0.49911,9997,6692,0.6694008202460738
26,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70032,0.70032,9997,5382,0.5383615084525357
26,0.7,risk_independent,0.0,0.8472978603867887,70174,0.70174,9997,7044,0.7046113834150245
26,0.7,higher_risk_more_available,1.0,1.0184006519909872,70080,0.7008,9997,8302,0.8304491347404221
26,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90060,0.9006,9997,8147,0.8149444833450035
26,0.9,risk_independent,0.0,2.197224577337238,90100,0.901,9997,9014,0.9016705011503451
26,0.9,higher_risk_more_available,1.0,2.5642215001107616,90110,0.9011,9997,9525,0.9527858357507252
27,0.5,higher_risk_less_available,-1.0,0.0,50049,0.50049,10095,3387,0.3355126300148588
27,0.5,risk_independent,0.0,0.0,49963,0.49963,10095,5097,0.5049034175334324
27,0.5,higher_risk_more_available,1.0,0.0,49958,0.49958,10095,6738,0.6674591381872214
27,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70006,0.70006,10095,5462,0.5410599306587419
27,0.7,risk_independent,0.0,0.8472978603867887,69981,0.69981,10095,7060,0.6993561168895492
27,0.7,higher_risk_more_available,1.0,1.0184006519909872,69845,0.69845,10095,8376,0.8297176820208024
27,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89928,0.89928,10095,8271,0.8193164933135215
27,0.9,risk_independent,0.0,2.197224577337238,89915,0.89915,10095,9141,0.9054977711738484
27,0.9,higher_risk_more_available,1.0,2.5642215001107616,89946,0.89946,10095,9641,0.9550272412085191
28,0.5,higher_risk_less_available,-1.0,0.0,49958,0.49958,9873,3254,0.3295857388838246
28,0.5,risk_independent,0.0,0.0,49857,0.49857,9873,4880,0.49427732198926366
28,0.5,higher_risk_more_available,1.0,0.0,49747,0.49747,9873,6539,0.6623113541983187
28,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69878,0.69878,9873,5283,0.5350957155879672
28,0.7,risk_independent,0.0,0.8472978603867887,69844,0.69844,9873,6899,0.6987744353286741
28,0.7,higher_risk_more_available,1.0,1.0184006519909872,69870,0.6987,9873,8113,0.8217360478071508
28,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89940,0.8994,9873,8043,0.8146460042540261
28,0.9,risk_independent,0.0,2.197224577337238,90014,0.90014,9873,8864,0.8978020864985313
28,0.9,higher_risk_more_available,1.0,2.5642215001107616,89958,0.89958,9873,9396,0.9516864175022789
29,0.5,higher_risk_less_available,-1.0,0.0,49970,0.4997,10037,3365,0.3352595397030985
29,0.5,risk_independent,0.0,0.0,50075,0.50075,10037,5066,0.5047324897877852
29,0.5,higher_risk_more_available,1.0,0.0,49922,0.49922,10037,6712,0.6687257148550364
29,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69931,0.69931,10037,5473,0.5452824549168078
29,0.7,risk_independent,0.0,0.8472978603867887,69783,0.69783,10037,7051,0.7025007472352297
29,0.7,higher_risk_more_available,1.0,1.0184006519909872,70110,0.7011,10037,8371,0.8340141476536814
29,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89892,0.89892,10037,8238,0.8207631762478829
29,0.9,risk_independent,0.0,2.197224577337238,89964,0.89964,10037,9088,0.9054498356082494
29,0.9,higher_risk_more_available,1.0,2.5642215001107616,89917,0.89917,10037,9582,0.9546677294012155
30,0.5,higher_risk_less_available,-1.0,0.0,49877,0.49877,9985,3334,0.3339008512769154
30,0.5,risk_independent,0.0,0.0,50044,0.50044,9985,5042,0.5049574361542314
30,0.5,higher_risk_more_available,1.0,0.0,50023,0.50023,9985,6680,0.6690035052578869
30,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69957,0.69957,9985,5462,0.5470205307961943
30,0.7,risk_independent,0.0,0.8472978603867887,69969,0.69969,9985,6992,0.700250375563345
30,0.7,higher_risk_more_available,1.0,1.0184006519909872,69958,0.69958,9985,8296,0.8308462694041061
30,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90068,0.90068,9985,8184,0.8196294441662494
30,0.9,risk_independent,0.0,2.197224577337238,90102,0.90102,9985,8981,0.8994491737606409
30,0.9,higher_risk_more_available,1.0,2.5642215001107616,90034,0.90034,9985,9547,0.9561342013019529
31,0.5,higher_risk_less_available,-1.0,0.0,50053,0.50053,9937,3304,0.33249471671530645
31,0.5,risk_independent,0.0,0.0,49986,0.49986,9937,4952,0.49833953909630674
31,0.5,higher_risk_more_available,1.0,0.0,49969,0.49969,9937,6604,0.6645868974539599
31,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69873,0.69873,9937,5301,0.5334608030592735
31,0.7,risk_independent,0.0,0.8472978603867887,69969,0.69969,9937,6902,0.694575827714602
31,0.7,higher_risk_more_available,1.0,1.0184006519909872,69858,0.69858,9937,8179,0.8230854382610446
31,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89877,0.89877,9937,8027,0.8077890711482338
31,0.9,risk_independent,0.0,2.197224577337238,89927,0.89927,9937,8895,0.8951393780819161
31,0.9,higher_risk_more_available,1.0,2.5642215001107616,89949,0.89949,9937,9442,0.9501861728892019
32,0.5,higher_risk_less_available,-1.0,0.0,49997,0.49997,9956,3311,0.33256327842507033
32,0.5,risk_independent,0.0,0.0,49974,0.49974,9956,4960,0.49819204499799113
32,0.5,higher_risk_more_available,1.0,0.0,50172,0.50172,9956,6620,0.6649256729610286
