replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,protocol,from_scenario,to_scenario,from_eligible_n,to_eligible_n,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture,threshold
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,70255,100000,20000,20000,0,3012,4537,1525,0.30476575938480216,0.45907113224729335,0.15430537286249119,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,70255,100000,9053,20058,11005,1780,4544,2764,0.18010725488212082,0.45977941920469495,0.27967216432257413,0.935991560680596
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,69979,100000,3499,5000,1501,1161,1674,513,0.11747445107760801,0.16938176667003946,0.05190731559243145,
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,69979,100000,5000,5000,0,1522,1674,152,0.15400182130931903,0.16938176667003946,0.015379945360720432,
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,69979,100000,3464,4889,1425,1153,1640,487,0.11666498026914904,0.16594151573408883,0.04927653546493979,1.8429586299902603
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,69979,100000,6998,10000,3002,1966,2852,886,0.19892745117879188,0.2885763432156228,0.08964889203683093,
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,69979,100000,10000,10000,0,2505,2852,347,0.253465546898715,0.2885763432156228,0.03511079631690783,
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,69979,100000,6863,9793,2930,1939,2807,868,0.19619548720024285,0.2840230699180411,0.08782758271779825,1.4386365686630094
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,69979,100000,13996,20000,6004,3156,4537,1381,0.3193362339370636,0.45907113224729335,0.13973489831022973,
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,69979,100000,20000,20000,0,3930,4537,607,0.397652534655469,0.45907113224729335,0.06141859759182433,
1,0.7,risk_independent,0.0,0.8472978603867887,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,69979,100000,14032,20058,6026,3161,4544,1383,0.3198421531923505,0.45977941920469495,0.13993726601234446,0.935991560680596
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,69884,100000,3494,5000,1506,1251,1674,423,0.12658099767277142,0.16938176667003946,0.042800768997268035,
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,69884,100000,5000,5000,0,1664,1674,10,0.16836992815946575,0.16938176667003946,0.0010118385105737093,
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,69884,100000,4601,4889,288,1556,1640,84,0.15744207224526965,0.16594151573408883,0.008499443488819175,1.8429586299902603
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,69884,100000,6988,10000,3012,2153,2852,699,0.21784883132652028,0.2885763432156228,0.07072751188910253,
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,69884,100000,10000,10000,0,2809,2852,43,0.28422543762015584,0.2885763432156228,0.0043509055954669695,
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,69884,100000,8998,9793,795,2613,2807,194,0.26439340281291107,0.2840230699180411,0.019629667105130033,1.4386365686630094
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,69884,100000,13977,20000,6023,3522,4537,1015,0.35636952342406153,0.45907113224729335,0.10270160882323182,
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,69884,100000,20000,20000,0,4435,4537,102,0.44875037943944146,0.45907113224729335,0.010320752807851885,
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,69884,100000,17892,20058,2166,4142,4544,402,0.4191035110796317,0.45977941920469495,0.040675908125063276,0.935991560680596
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,90121,100000,4506,5000,494,1326,1674,348,0.13416978650207426,0.16938176667003946,0.0352119801679652,
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,90121,100000,5000,5000,0,1427,1674,247,0.14438935545886877,0.16938176667003946,0.024992411211170684,
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,90121,100000,3264,4889,1625,1020,1640,620,0.10320752807851867,0.16594151573408883,0.06273398765557016,1.8429586299902603
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,90121,100000,9012,10000,988,2231,2852,621,0.22574117170899524,0.2885763432156228,0.06283517150662757,
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,90121,100000,10000,10000,0,2405,2852,447,0.24334716179297783,0.2885763432156228,0.04522918142264498,
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,90121,100000,7010,9793,2783,1876,2807,931,0.18982090458362846,0.2840230699180411,0.09420216533441264,1.4386365686630094
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,90121,100000,18024,20000,1976,3585,4537,952,0.3627441060406759,0.45907113224729335,0.09632702620661743,
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,90121,100000,20000,20000,0,3839,4537,698,0.3884448042092482,0.45907113224729335,0.07062632803804514,
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,90121,100000,15457,20058,4601,3243,4544,1301,0.32813922897905495,0.45977941920469495,0.13164019022564,0.935991560680596
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,90030,100000,4502,5000,498,1499,1674,175,0.1516745927349995,0.16938176667003946,0.017707173935039955,
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,90030,100000,5000,5000,0,1633,1674,41,0.16523322877668725,0.16938176667003946,0.0041485378933522055,
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,90030,100000,4410,4889,479,1474,1640,166,0.14914499645856522,0.16594151573408883,0.016796519275523614,1.8429586299902603
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,90030,100000,9003,10000,997,2556,2852,296,0.2586259233026409,0.2885763432156228,0.029950419912981918,
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,90030,100000,10000,10000,0,2735,2852,117,0.2767378326419104,0.2885763432156228,0.011838510573712435,
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,90030,100000,8808,9793,985,2520,2807,287,0.2549833046645755,0.2840230699180411,0.029039765253465577,1.4386365686630094
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,90030,100000,18006,20000,1994,4056,4537,481,0.4104016998886978,0.45907113224729335,0.048669432358595555,
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,90030,100000,20000,20000,0,4329,4537,208,0.4380248912273601,0.45907113224729335,0.021046241019933243,
1,0.9,risk_independent,0.0,2.197224577337238,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,90030,100000,18034,20058,2024,4059,4544,485,0.41070525144186987,0.45977941920469495,0.04907416776282508,0.935991560680596
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,89930,100000,4496,5000,504,1533,1674,141,0.1551148436709501,0.16938176667003946,0.014266922999089354,
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,89930,100000,5000,5000,0,1672,1674,2,0.16917939896792472,0.16938176667003946,0.00020236770211473631,
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,89930,100000,4818,4889,71,1622,1640,18,0.16412020641505615,0.16594151573408883,0.0018213093190326823,1.8429586299902603
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,89930,100000,8993,10000,1007,2632,2852,220,0.2663158959830011,0.2885763432156228,0.022260447232621716,
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,89930,100000,10000,10000,0,2842,2852,10,0.2875645047050491,0.2885763432156228,0.001011838510573737,
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,89930,100000,9604,9793,189,2768,2807,39,0.2800768997268036,0.2840230699180411,0.003946170191237497,1.4386365686630094
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,89930,100000,17986,20000,2014,4239,4537,298,0.4289183446321967,0.45907113224729335,0.030152787615096655,
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,89930,100000,20000,20000,0,4529,4537,8,0.45826166143883434,0.45907113224729335,0.0008094708084590008,
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,89930,100000,19536,20058,522,4463,4544,81,0.4515835272690479,0.45977941920469495,0.00819589193564707,0.935991560680596
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.05,cohort_specific_top_fraction,available_subset,all_population,50137,100000,2507,5000,2493,418,1333,915,0.04229484974198118,0.13487807345947586,0.09258322371749468,
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.05,fixed_absolute_budget,available_subset,all_population,50137,100000,5000,5000,0,731,1333,602,0.07396539512293838,0.13487807345947586,0.060912678336537476,
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.05,fixed_calibration_threshold,available_subset,all_population,50137,100000,1068,4900,3832,213,1308,1095,0.021552160275220073,0.13234847718304157,0.1107963169078215,2.3223488939249695
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.1,cohort_specific_top_fraction,available_subset,all_population,50137,100000,5014,10000,4986,734,2333,1599,0.07426894667611049,0.2360619245168471,0.1617929778407366,
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.1,fixed_absolute_budget,available_subset,all_population,50137,100000,10000,10000,0,1249,2333,1084,0.1263786299706567,0.2360619245168471,0.10968329454619041,
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.1,fixed_calibration_threshold,available_subset,all_population,50137,100000,2505,9958,7453,417,2326,1909,0.042193665890923805,0.23535363755944552,0.19315997166852172,1.8074019970778878
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.2,cohort_specific_top_fraction,available_subset,all_population,50137,100000,10027,20000,9973,1255,3911,2656,0.12698573307700092,0.39573004148537894,0.26874430840837804,
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.2,fixed_absolute_budget,available_subset,all_population,50137,100000,20000,20000,0,2005,3911,1906,0.20287362137002934,0.39573004148537894,0.1928564201153496,
1,0.5,higher_risk_less_available,-1.0,0.0,medium,1.0,0.7071067811865475,0.2,fixed_calibration_threshold,available_subset,all_population,50137,100000,5842,19899,14057,826,3894,3068,0.08357786097338865,0.39400991601740365,0.310432055044015,1.1867773292982402
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.05,cohort_specific_top_fraction,available_subset,all_population,50069,100000,2503,5000,2497,674,1333,659,0.06819791561266822,0.13487807345947586,0.06668015784680764,
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.05,fixed_absolute_budget,available_subset,all_population,50069,100000,5000,5000,0,1180,1333,153,0.11939694424769806,0.13487807345947586,0.0154811292117778,
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.05,fixed_calibration_threshold,available_subset,all_population,50069,100000,2501,4900,2399,674,1308,634,0.06819791561266822,0.13234847718304157,0.06415056157037335,2.3223488939249695
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.1,cohort_specific_top_fraction,available_subset,all_population,50069,100000,5007,10000,4993,1180,2333,1153,0.11939694424769806,0.2360619245168471,0.11666498026914904,
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.1,fixed_absolute_budget,available_subset,all_population,50069,100000,10000,10000,0,1965,2333,368,0.1988262673277345,0.2360619245168471,0.03723565718911259,
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.1,fixed_calibration_threshold,available_subset,all_population,50069,100000,5014,9958,4944,1180,2326,1146,0.11939694424769806,0.23535363755944552,0.11595669331174746,1.8074019970778878
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.2,cohort_specific_top_fraction,available_subset,all_population,50069,100000,10014,20000,9986,1968,3911,1943,0.1991298188809066,0.39573004148537894,0.19660022260447232,
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.2,fixed_absolute_budget,available_subset,all_population,50069,100000,20000,20000,0,3145,3911,766,0.31822321157543254,0.39573004148537894,0.0775068299099464,
1,0.5,risk_independent,0.0,0.0,medium,1.0,0.7071067811865475,0.2,fixed_calibration_threshold,available_subset,all_population,50069,100000,9936,19899,9963,1954,3894,1940,0.1977132449661034,0.39400991601740365,0.19629667105130025,1.1867773292982402
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.05,cohort_specific_top_fraction,available_subset,all_population,49919,100000,2496,5000,2504,732,1333,601,0.07406657897399575,0.13487807345947586,0.06081149448548011,
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.05,fixed_absolute_budget,available_subset,all_population,49919,100000,5000,5000,0,1347,1333,-14,0.13629464737427907,0.13487807345947586,-0.0014165739148032097,
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.05,fixed_calibration_threshold,available_subset,all_population,49919,100000,3844,4900,1056,1082,1308,226,0.10948092684407569,0.13234847718304157,0.022867550338965884,2.3223488939249695
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.1,cohort_specific_top_fraction,available_subset,all_population,49919,100000,4992,10000,5008,1344,2333,989,0.13599109582110694,0.2360619245168471,0.10007082869574016,
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.1,fixed_absolute_budget,available_subset,all_population,49919,100000,10000,10000,0,2400,2333,-67,0.242841242537691,0.2360619245168471,-0.006779318020843889,
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.1,fixed_calibration_threshold,available_subset,all_population,49919,100000,7448,9958,2510,1882,2326,444,0.19042800768997267,0.23535363755944552,0.04492562986947285,1.8074019970778878
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.2,cohort_specific_top_fraction,available_subset,all_population,49919,100000,9984,20000,10016,2397,3911,1514,0.24253769098451888,0.39573004148537894,0.15319235050086005,
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.2,fixed_absolute_budget,available_subset,all_population,49919,100000,20000,20000,0,3933,3911,-22,0.3979560862086411,0.39573004148537894,-0.002226044723262155,
1,0.5,higher_risk_more_available,1.0,0.0,medium,1.0,0.7071067811865475,0.2,fixed_calibration_threshold,available_subset,all_population,49919,100000,13923,19899,5976,3040,3894,854,0.3075989072144086,0.39400991601740365,0.08641100880299507,1.1867773292982402
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.05,cohort_specific_top_fraction,available_subset,all_population,70255,100000,3513,5000,1487,699,1333,634,0.07072751188910249,0.13487807345947586,0.06415056157037337,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.05,fixed_absolute_budget,available_subset,all_population,70255,100000,5000,5000,0,928,1333,405,0.09389861378124051,0.13487807345947586,0.04097945967823535,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.05,fixed_calibration_threshold,available_subset,all_population,70255,100000,2025,4900,2875,444,1308,864,0.04492562986947283,0.13234847718304157,0.08742284731356875,2.3223488939249695
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.1,cohort_specific_top_fraction,available_subset,all_population,70255,100000,7026,10000,2974,1229,2333,1104,0.12435495294950925,0.2360619245168471,0.11170697156733785,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.1,fixed_absolute_budget,available_subset,all_population,70255,100000,10000,10000,0,1584,2333,749,0.16027522007487605,0.2360619245168471,0.07578670444197105,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,medium,1.0,0.7071067811865475,0.1,fixed_calibration_threshold,available_subset,all_population,70255,100000,4547,9958,5411,862,2326,1464,0.08722047961145402,0.23535363755944552,0.1481331579479915,1.8074019970778878
